Response Received Date,Interaction Id,Overall Experience-Value,Comments,Feedback Category,Subcategory,Survey Source
2/7/2023 12:46,459475337771,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 12:21,459475892615,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/3/2023 12:21,459061146101,2,we returned an entire shipment but they are saying 2 of the items weren't returned. They continue to say i owe them money but i shouldn't. This has been going on for months and is still unresolved. I'm not sure what to do with it at this point.,Balance/Payment,Balance/Payment,Post CS Interaction Survey
2/3/2023 7:48,459217435078,4,"New person, J. Schmidt, responded very promptly.   It is just a little frustrating that each year we have a new rep assigned to the account. Would like to make changes to mailing list without the teacher account numbers",Account Update,Account Update,Post CS Interaction Survey
2/2/2023 14:58,459314831733,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/2/2023 14:34,459217455676,2,Our orders have not been addressed correctly and therefore not been checked in correctly at my warehouse and payment therefore has been late and I have asked to get it fixed and am not sure if it has or not been fixed.,Balance/Payment,Balance/Payment,Post CS Interaction Survey
2/2/2023 14:05,459216993254,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/2/2023 14:02,459217443435,5,Calls were handled very professional and the invoices I was requesting was sent to me right away. Thank you for the quick response.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/2/2023 13:48,459217164599,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/1/2023 13:26,459215868086,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/1/2023 12:12,459140791221,3,We want Gallaher elementary taken off your catalog distribution list. Take our school off your catalog distribution list.,Kits,Kits,Post CS Interaction Survey
1/31/2023 12:52,459140353145,1,"I received this survey and have not heard from customer service at all after emailing them earlier today to ask for an invoice for an order made by my supervisor, Meghan Gartland.  I gave the order number as well as the PO number.",Balance/Payment,Balance/Payment,Post CS Interaction Survey
1/31/2023 12:12,458984738339,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/31/2023 6:56,459060913973,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/30/2023 19:49,458899428648,2,it takes for ever to load,Website,Website,Post CS Interaction Survey
1/28/2023 19:26,458837232904,5,I would like for you to look at an automatic way to send invoices for orders.,Balance/Payment,Balance/Payment,Post CS Interaction Survey
1/28/2023 13:28,458985508975,5,Everyone was very helpful and efficient,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/28/2023 2:32,458899784303,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/27/2023 12:34,458900377064,4,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/26/2023 13:07,458900111251,5,Very helpful. Very courteous..,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/26/2023 12:22,458899353344,2,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/24/2023 13:35,458737438858,1,Turns out you all do not support the smaller schools. We have a small preschool and unfortunately we were told you could help us with a book fair. We are wanting to utilize books for fundraising or obtain a QR code that parents can use to not only receive a discount but that they can support buying our school books.,LOB Confusion,LOB Confusion,Post CS Interaction Survey
1/24/2023 13:00,458665788956,5,I was very grateful for the quick and information responses I received regarding my inquiry.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/24/2023 12:38,458736775094,2,"It seems like different people responded to my emails each time I responded to the previous email. So it's like they didn't know the whole story and therefore weren't giving me the information I was looking for. Furthermore, I find it very frustrating that I, as a librarian, can't purchase something that appears in the Book Clubs. Why not? Shouldn't everything you sell be available to both Librarians and Parents/Teachers?",Customer Service,Policy/SOP,Post CS Interaction Survey
1/24/2023 12:20,458736860884,5,"Julie took care of the request I made to the company very quickly.  We appreciate it.  Thank you,",Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/23/2023 12:14,458736298694,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/23/2023 12:10,458735941429,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/21/2023 12:25,458453439963,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 15:40,459563696539,2,"Over the past two years, mostly due to technical issues on the various websites, ordering books has been painful, time consuming, and ultimately not worth it. I order to support my sons schools, but it is getting ridiculous! Half the time now the website doesn't work, I can't log in and the information is always wrong. I was told I would receive an email re: a cancelled order. It was never sent. I had to use the chat twice and email once to get an issue resolved the website should have managed easily. I am confused why so many websites are needed when they are difficult to maneuver and often fail to provide help of any kind if the order goes astray.",Website,Website,Post CS Interaction Survey
2/8/2023 13:58,459475954548,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 12:28,459563911285,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 12:12,459564454423,3,"Make sure when the schools receive the flyers that you then may go in and place your order and not wait for the flyer to be available online. Thank you. Make sure when you send out the flyers, that flyer is in the system so one may place their order.",Website,Website,Post CS Interaction Survey
2/8/2023 5:42,459475076297,5,I emailed scholastic about an issue I had and i got multiple responses right away and the employees worked so hard to help i was very impressed!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 19:41,459475145494,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 15:09,459475324281,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 12:57,459475510995,3,I’m just waiting on shipping to make sure it comes in time,Customer Service,WISMO,Post CS Interaction Survey
2/7/2023 12:15,459475182633,1,"I wanted to check if my order was processed. Site maintenance on day my order was made, also didn’t see charges on my bank account. Agent was vague and redundant in replies. Felt like purposely answered questions in rude manner then finally gave me contact info to another department to get help.",Customer Service,CS Experience,Post CS Interaction Survey
2/6/2023 18:37,459388424830,1,Ordered through your site yet the teacher is the one to place the order but she did not! This was back in NOVEMBER!,Submit Student Order,Submit Student Order,Post CS Interaction Survey
2/6/2023 18:08,459387747043,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/6/2023 18:03,459388641463,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/6/2023 13:16,459388947941,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/6/2023 12:30,459315355925,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/6/2023 12:13,459315036807,5,amazing customer service,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/6/2023 11:44,459216715167,4,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/5/2023 18:08,459216934450,1,"My inquiry was dismisssed. My research made it seem that scholastic is the parent company for Klutz. Im interested in buying a  replacement part for a klutz product. I was dismissed because I purchased the product through Amazon, not scholastic.",Customer Service,Policy/SOP,Post CS Interaction Survey
2/5/2023 14:46,459140324343,5,I was impressed with the speedy and personal reply from the Scholastic representative. This exceeded my expectations. Thank you!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/5/2023 14:01,459314837183,5,"The last book in my order arrived promptly and in excellent condition.  Howrver, because it had been wedged between the overlapping, folded flaps of the bottom of the box, it could have arrived with a bent cover and/or bent pages, had it slid into that narrow opening at a different angle.  Shipping a single paperback book might work better in a large envelope than in a box. Thank you.",Damaged/Missing Item(s),Damaged Item(s),Post CS Interaction Survey
2/5/2023 13:09,459216904039,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/4/2023 20:44,459141320823,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/4/2023 13:20,459215535168,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/4/2023 12:25,459316261213,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/3/2023 13:54,459315191274,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/3/2023 13:39,459217036568,5,Prompt answer. Great,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/3/2023 13:27,459315242894,1,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/3/2023 13:27,459315658855,4,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/3/2023 12:09,459139688939,2,Backordered books on Valentine's day that won't arrive before Valentine's Day,Variety/Inventory,Out of Stock,Post CS Interaction Survey
2/3/2023 5:23,459139901068,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/2/2023 19:38,459216901642,1,If I place an order over a week ago online then the books I placed in that order should be set aside then. I spent extra money to receive a free book that I am now not able to get. It was available when I placed my order. Over a week later it is now not available but I can go online and purchase the book. The response I got back was a general response.,Variety/Inventory,Out of Stock,Post CS Interaction Survey
2/2/2023 17:21,459216352052,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/2/2023 15:40,459315002751,4,"nothing, i receieved a quick response and was happy.",Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/2/2023 15:16,459216847496,5,Love knowing the GRL for my daughter’s books when I order from Scholastic.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/2/2023 14:11,459216313735,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/2/2023 14:01,459060677854,2,"My query was resolved on the first contact which was great, but I shouldn't have had to reach out to begin with. I placed an order through my teacher's link back in September. She did what she needed to do to submit the class orders, and all the other parents received their books. I didn't receive mine. Now the customer service rep did double check that I hadn't actually been charged but why wasn't there a communication 4 months ago that said something like ""hey, you weren't charged and your order wasn't actually placed because of XYZ"". I don't think I'll trust Scholastic book orders again.",Order Not Received,Order Not Received,Post CS Interaction Survey
2/2/2023 14:00,459061400098,1,I didn't get a response other than surveys of good someone I didn't talk to did.,Customer Service,No Response from CS,Post CS Interaction Survey
2/2/2023 13:58,459060732422,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/1/2023 14:08,459216003230,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/1/2023 13:30,459215663915,5,You have been extremely helpful. Thank you!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/1/2023 12:51,459141510479,4,Person didn’t really help enter my order The ordering process was very difficult,Website,Website,Post CS Interaction Survey
2/1/2023 12:27,459215861213,5,The site was easy to navigate. I’ve been a fan of Scholastic books for many years. And now I’m buying for grandchildren. Thank you for wonderful books. 🙂,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/1/2023 12:27,459215750129,5,Letha (9062804) got back to me quickly and resolved my problem,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/31/2023 15:37,458984428368,5,My books arrived damaged and replacements were sent immediately. Thank you for the fast and friendly customer service.,Damaged/Missing Item(s),Damaged Item(s),Post CS Interaction Survey
1/31/2023 15:29,458985070796,5,they forgot to send a book we ordered butchecked and said they would send it right out,Damaged/Missing Item(s),Missing Item(s),Post CS Interaction Survey
1/31/2023 14:45,459140039278,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/31/2023 12:32,459059666585,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/31/2023 12:28,458985409833,5,"Very responsive and helpful customer service, thank you!",Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/30/2023 21:53,459061483207,4,Still working on it,Other,Other,Post CS Interaction Survey
1/30/2023 18:18,459060363588,1,"I have order from Dec 9, 2022 and still I didn't received the books",Order Not Received,Order Not Received,Post CS Interaction Survey
1/30/2023 14:47,458900340665,5,"Fast, fair and friendly customer service.",Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/30/2023 14:31,458983687418,5,Fast service. Issue resolved. Thank you,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/30/2023 12:44,459060669350,2,My shipment was not received and your rep basically told me to take the matter into my own hands.,Order Not Received,Order Not Received,Post CS Interaction Survey
1/30/2023 12:22,459060636182,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/30/2023 12:18,458984115442,2,My package hasn’t moved since the 20th and I’m afraid it’s lost. I was told to wait till February 1 to reach back out,Order Not Received,Order Not Received,Post CS Interaction Survey
1/30/2023 9:39,458984577637,5,Wonderful customer service with quick resolution.  Thanks!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/30/2023 8:03,458984653859,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/29/2023 21:06,458837487199,2,I placed an online order back in November 2022 that was never received. When I Contacted support twice they told me it was cancelled and never submitted. I have been waiting almost 3 months for books for my son that never came. Not sure where the disconnect is. I will be buying my books from elsewhere!!,Order Not Received,Order Not Received,Post CS Interaction Survey
1/29/2023 15:46,458899814554,2,"Very few Spanish language books are available to English speaking students. Many children have been learning Spanish for years! This is terrible. Also once I found any Spanish language books, which was quite difficult, my checkout experience was impossible. I had to abandon my cart, having spent one hour on your site.",Website,Website,Post CS Interaction Survey
1/29/2023 14:32,458898796831,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/28/2023 21:21,458985352021,2,"I simply just wanted the free book that I added to go with the rest of my order. I didn’t realize my free book had a drop down that went to my other child since all the other books I added were for my kindergartener. Instead of just kindly saying my options or just taking care of the situation the person who responded sounded passive aggressive. I realize how the drop downs work, I just didn’t realize I had to do the one that I added as a free book and since I was doing it quickly I forgot to double check before submitting.",Promos/Rewards,Promos/Rewards,Post CS Interaction Survey
1/28/2023 13:35,458984965595,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/28/2023 13:33,458984935342,5,Thank you!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/28/2023 12:33,459059690992,5,"I was very impressed with the quick response.  I did not expect to hear back on a Saturday, let alone to have the issue resolved within hours of sending the original email.",Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/28/2023 12:24,458837361125,1,There are conflicting opinions between Scholastic and the homeroom teacher as to who should have placed the order which gives me concern that somehow this order that I no longer want is going to end up getting placed and I'm going to get charged. There is something wrong with you people.,Submit Student Order,Submit Student Order,Post CS Interaction Survey
1/28/2023 12:23,458984836589,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/28/2023 5:20,458736587542,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/26/2023 14:55,458899269695,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/26/2023 14:08,458899395040,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/26/2023 13:07,458898947066,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/26/2023 13:03,458899078074,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/26/2023 12:16,458899665521,1,Changing my email addresses under account didn't update where newsletters are being sent. Customer service solution was to unsubscribed from the newsletters (not even resubscribe). I then had to use a search engine to find where to sign back up to newsletters on my new email as a link wasn't provided nor is it clear on your website navigation. I'm now not certain if I'm going to receive the same amount or even type of correspondence.,Account Update,Account Update,Post CS Interaction Survey
1/26/2023 12:14,458899263968,4,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/26/2023 12:11,458899462372,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/26/2023 12:11,458899835698,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/26/2023 1:03,458837000609,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/25/2023 16:04,458837152636,4,Have your automated machine give the conformation number.,Customer Service,Policy/SOP,Post CS Interaction Survey
1/25/2023 12:56,458837054500,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/25/2023 12:14,458836761170,1,No one has answered my email for the 2nd time. I am only trying to verify that my order for my sons Cap and Gown is confirmed.,Customer Service,No Response from CS,Post CS Interaction Survey
1/25/2023 5:18,458666005660,5,Problem was resolved. Thank you,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/24/2023 14:19,458835872453,3,Trying to  order but continues  to  say my password  is wrong.  Even  when I  continue  to change it. I will  not be ordering. Password  never works,Website,Website,Post CS Interaction Survey
1/24/2023 13:06,458737525978,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/24/2023 12:09,458737298184,4,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/23/2023 14:59,458735728731,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/23/2023 13:50,458666455608,5,Very good contact,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/22/2023 15:29,458666373372,5,I was impressed by how quickly my questions were answered on a weekend! I had the issue resolved within an hour and it would have been faster if I hadn't been busy with other tasks. Many thanks!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/22/2023 14:55,458595328597,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/22/2023 12:33,458384631483,1,My order was canceled,Order Not Received,Order Not Received,Post CS Interaction Survey
1/21/2023 17:25,458665840745,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/21/2023 12:17,458665234565,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/20/2023 18:43,458384548219,5,Love this site,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/20/2023 17:39,458664599869,2,Not been told if the discount will be granted.,Customer Service,No Response from CS,Post CS Interaction Survey
1/20/2023 14:45,458596241055,4,Free book was no longer  available  not a choice  to select  a new one . Need help so i get my free book. My books came for my sons class but my daughter  hasn't  gotten her order yet. I made the book order  at the same time so still waiting on books. I also had no information  on how i can replace  the free book that was no longer available but informed  weeks later from order  date.  I tried emailing for help to choose  a new free book  but no one emailed  me  back the free book  id like to get one  sense i bought  good books well worth the money  because  there my child hood favorites that helped me learn  to read what i could easily with motivation. But i bought enough  to still get a free  book. So a option  to select  a book in place  a of the other  be nice.,Variety/Inventory,Out of Stock,Post CS Interaction Survey
1/20/2023 12:19,458665162680,3,The rep who was helping me seemed to be impatient. Once I gave her the answers she was looking for she replied that she cancelled my order (which is what I needed assistance with) and then said have a great day. Then ended the chat. If I had more questions at all I now needed to contact your company again. I get there may have been more people needing assistance - but allow people time to reply.,Customer Service,CS Experience,Post CS Interaction Survey
1/19/2023 17:39,458533271981,5,"All good ! However, I wish the service rendered could be more flexible. I requested to change the book for me immediately ( within few mins )after ordering. But, my request was denied.",Customer Service,Policy/SOP,Post CS Interaction Survey
1/19/2023 16:31,458595468872,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
1/19/2023 13:31,458534187988,5,I received a prompt response to my issue which I appreciated.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
1/19/2023 12:44,458385487907,3,"The site is easy to use if you have a club form and can just put in the book code, however it is much harder to find books that are not on the order form.",Website,Website,Post CS Interaction Survey
1/19/2023 12:22,458595660111,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 20:00,459564176927,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 19:58,459563623885,5,Great customer service!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/8/2023 19:20,459564348324,4,Show bonus points.   I don’t think the website is as easy to access as it was previously,Website,Website,Post CS Interaction Survey
2/8/2023 19:06,459563619403,4,Thank you for making it easy to get the missing book. I was missing a book with my order.,Damaged/Missing Item(s),Missing Item(s),Post CS Interaction Survey
2/8/2023 18:49,459564020791,5,Joanne was very pleasant and worked to solve the problem.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/8/2023 17:52,459216613926,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 17:06,459476352573,5,Quick response - matter was taken care of right away.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/8/2023 15:34,459563643532,1,"I was told my order from November couldn't be re shipped so I would get a refund.  ""Tina"" ended our chat without telling me how the refund would work and in addition to that I entered an email address to get a transcript of the chat and it never came.",Customer Service,CS Experience,Post CS Interaction Survey
2/8/2023 15:14,459476133207,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 15:10,459476403000,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 14:28,459476177452,4,Eliminated the reason why I had to reach out. We had three sets of books missing from our order.,Damaged/Missing Item(s),Missing Item(s),Post CS Interaction Survey
2/8/2023 14:05,459564166714,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 14:01,459476445409,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 13:58,459564036264,5,"I have always loved Scholastic's ""no fuss"" approach to customer service.  You make things work smoothly for the customer.",Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/8/2023 13:49,459476271343,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 13:32,459564187926,4,"I don't understand how you can send an email telling me that the book I wanted was now available and then it isn't.  When I went to place the order on Sunday night, it said that the book wasn't available and then I got an email 2 days later (within 48 hours) that it was available. I was sent an email that a book was in stock, but it wasn't according to the website.  Why did I get that email?",Variety/Inventory,Out of Stock,Post CS Interaction Survey
2/8/2023 13:21,459476142274,5,"The online live chat was easy to use.  When I had a problem with my order (someone had inadvertently put the wrong book in my order), the representative checked on the order, then told me that she would send out a replacement book for the one I was supposed to receive.  If it comes, I will be very satisfied.",Damaged/Missing Item(s),Missing Item(s),Post CS Interaction Survey
2/8/2023 12:51,459564299523,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 12:40,459564026247,5,Our representative was very helpful and solved our problem!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/8/2023 12:34,459476456928,1,"I was previously told that to get the tax exempt for schools that all that I had to do was make the order and immediately call in and the tax would be taken off since the tax exempt letter is on file. This is what I did and was told no that I have to wait until the order ships, I receive the order, or when I get the credit card bill. WHAT? It's the fricken tax, it should not matter when I call in, all she had to do was remove the tax since we are tax exempt.",Balance/Payment,Tax,Post CS Interaction Survey
2/8/2023 12:23,459564013312,4,your ordering pages could be more helpful.  Maybe tabs at the top.  It was hard to get to the page for coupons and rewards. But the chat person was helpful,Website,Website,Post CS Interaction Survey
2/8/2023 12:23,459563794158,2,I got an email that someone ordered books and that I needed to go in and confirm the order. The order is not showing up under the book club part of the website.,Submit Student Order,Submit Student Order,Post CS Interaction Survey
2/8/2023 12:11,459564436168,4,"Provide the phone number for customer service on the order, packing slip, and online.  Even when I clicked on Call Us on the website, I got a link to a FaceTime call rather than a phone number.",Website,Website,Post CS Interaction Survey
2/8/2023 12:11,459563591101,2,I was told that the March orders would be live on February 8. I confirmed this twice on the chat.  I just checked and the March items are showing up when I search.,Customer Service,CS Experience,Post CS Interaction Survey
2/8/2023 12:10,459476127107,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 12:09,459563966612,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/8/2023 10:38,459315955788,5,I do not have any at this time.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/8/2023 9:25,459475579561,5,Response was very quick and problem was resolved right away!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/8/2023 6:59,459474618421,5,Very responsive and issue was quickly resolved. Thank you!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 22:54,459315202159,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 21:51,459316044206,4,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 20:23,459389405338,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 19:46,459475222920,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 19:27,459316401067,5,Thank you for being understanding and my confusion around the physical checks being combined with the online class order and making this exception to waive the additional shipping fee.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 19:23,459475385860,4,Send all of the books with the order.,Damaged/Missing Item(s),Missing Item(s),Post CS Interaction Survey
2/7/2023 17:37,459387823095,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 16:58,459475110969,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 15:47,459387799134,5,You gave a quick response.  Thank you!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 15:30,459316066885,4,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 15:04,459475251035,5,Thanks for the quick response to my question and the answer to my problem.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 14:50,459474622019,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 14:34,459475395763,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 14:34,459474787597,1,I am having to return my items that I am unsatisfied with the pay return postage. Not really 100% guarantee if you have to incur further time and expense.,Damaged/Missing Item(s),Damaged Item(s),Post CS Interaction Survey
2/7/2023 14:33,459474807900,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 14:17,459316498915,2,A grandparent of a student I have ordered the wrong books. They paid with a check. I am going to return the books for her. I am disappointed that we are paying for the return shipping. I do not feel right about asking her to pay so I am going to pay for her. I wish there was a better system for returns. Maybe a certain amount per year can be returned free of shipping?,Shipping Fee,Shipping Fee,Post CS Interaction Survey
2/7/2023 14:03,459389114478,4,Packed the order correctly the first time.,Damaged/Missing Item(s),Missing Item(s),Post CS Interaction Survey
2/7/2023 14:03,459389431143,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 14:01,459216879701,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 13:41,459215996726,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 13:39,459475150328,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 13:37,459474538589,5,I felt sympathy and compassion from representative,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 13:37,459474659015,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 13:30,459475738857,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 13:18,459474756438,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 13:17,459475810214,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 13:17,459316459870,5,"It was nice to speak with a customer service representative quickly without having to jump through hoops to get to someone who could help! Thank you, Scholastic, for great service and products!",Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 13:16,459475444630,1,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 13:14,459316295631,4,"Thank you! I contacted you because a student said they had ordered a book that did not arrive, but it turns out mom did not infact order the book.",Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 13:09,459475097912,1,I placed an order and was sent a duplicate that I was charged for. I just paid the balance rather than going back and forth any further,Balance/Payment,Balance/Payment,Post CS Interaction Survey
2/7/2023 12:58,459315769202,4,"I have always loved your book club and book offerings. It's a little disappointing to have raised prices this much, although I understand that the ecinomy has changed. It is nice you are offering a free book this month for any book purchase. 1. The book club flyers have less pages than before.  2.  Flyers used to offer $1.00 books. 3. The price of books are much more expensive since preCovid.  Not sure how these new prices will effect low to middle income young families of children in my class.",Price,Price,Post CS Interaction Survey
2/7/2023 12:54,459475170165,5,The Scholastic employee was very helpful and solved the problem. I am very grateful for her assistance yesterday.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 12:54,459389315789,5,Thank you for being responsive and professional!  I had a problem to be solved and it was resolved quickly and with little to no extra work on my part.,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 12:41,459474753033,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 12:31,459475610341,5,April was great!,Thanks/Praise,Thanks/Praise,Post CS Interaction Survey
2/7/2023 12:29,459475945380,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 12:26,459389078196,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 12:23,459475528416,4,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 12:21,459389498253,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 12:21,459474767343,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 12:18,459389419778,5,No Comment,No Comment,No Comment,Post CS Interaction Survey
2/7/2023 12:18,459475206456,3,No other concerns...I'd just like to have books with cd's available. The live chat representative was very helpful. I was just a bit disappointed you don't offer books that have cd's to go with them available to purchase with bonus points for classroom teachers. I used them for my 1st graders at a listening center and I'd love to get more variety of books.,Promos/Rewards,Promos/Rewards,Post CS Interaction Survey
